key,group,title,description,active,has_outrights
americanfootball_ncaaf,American Football,NCAAF,US College Football,True,False
americanfootball_ncaaf_championship_winner,American Football,NCAAF Championship Winner,US College Football Championship Winner,True,True
americanfootball_nfl_super_bowl_winner,American Football,NFL Super Bowl Winner,Super Bowl Winner 2024/2025,True,True
aussierules_afl,Aussie Rules,AFL,Aussie Football,True,False
baseball_mlb_preseason,Baseball,MLB Preseason,Major League Baseball,True,False
baseball_mlb_world_series_winner,Baseball,MLB World Series Winner,World Series Winner 2024,True,True
baseball_ncaa,Baseball,NCAA Baseball,US College Baseball,True,False
basketball_euroleague,Basketball,Basketball Euroleague,Basketball Euroleague,True,False
basketball_nba,Basketball,NBA,US Basketball,True,False
basketball_nba_championship_winner,Basketball,NBA Championship Winner,Championship Winner 2023/2024,True,True
basketball_ncaab,Basketball,NCAAB,US College Basketball,True,False
basketball_ncaab_championship_winner,Basketball,NCAAB Championship Winner,US College Basketball Championship Winner,True,True
boxing_boxing,Boxing,Boxing,Boxing Bouts,True,False
cricket_international_t20,Cricket,International Twenty20,International Twenty20,True,False
cricket_ipl,Cricket,IPL,Indian Premier League,True,False
cricket_psl,Cricket,Pakistan Super League,Pakistan Super League,True,False
cricket_test_match,Cricket,Test Matches,International Test Matches,True,False
golf_masters_tournament_winner,Golf,Masters Tournament Winner,2024 Winner,True,True
golf_pga_championship_winner,Golf,PGA Championship Winner,2024 Winner,True,True
golf_the_open_championship_winner,Golf,The Open Winner,2024 Winner,True,True
golf_us_open_winner,Golf,US Open Winner,2024 Winner,True,True
icehockey_nhl,Ice Hockey,NHL,US Ice Hockey,True,False
icehockey_nhl_championship_winner,Ice Hockey,NHL Championship Winner,Stanley Cup Winner 2023/2024,True,True
icehockey_sweden_allsvenskan,Ice Hockey,HockeyAllsvenskan,Swedish Hockey Allsvenskan,True,False
icehockey_sweden_hockey_league,Ice Hockey,SHL,Swedish Hockey League,True,False
mma_mixed_martial_arts,Mixed Martial Arts,MMA,Mixed Martial Arts,True,False
politics_us_presidential_election_winner,Politics,US Presidential Elections Winner,2024 US Presidential Election Winner,True,True
rugbyleague_nrl,Rugby League,NRL,Aussie Rugby League,True,False
soccer_australia_aleague,Soccer,A-League,Aussie Soccer,True,False
soccer_austria_bundesliga,Soccer,Austrian Football Bundesliga,Austrian Soccer,True,False
soccer_belgium_first_div,Soccer,Belgium First Div,Belgian First Division A,True,False
soccer_chile_campeonato,Soccer,Primera División - Chile,Campeonato Chileno,True,False
soccer_china_superleague,Soccer,Super League - China,Chinese Soccer,True,False
soccer_denmark_superliga,Soccer,Denmark Superliga,Danish Soccer,True,False
soccer_efl_champ,Soccer,Championship,EFL Championship,True,False
soccer_england_league1,Soccer,League 1,EFL League 1,True,False
soccer_england_league2,Soccer,League 2,EFL League 2 ,True,False
soccer_epl,Soccer,EPL,English Premier League,True,False
soccer_fa_cup,Soccer,FA Cup,Football Association Challenge Cup,True,False
soccer_fifa_world_cup_winner,Soccer,FIFA World Cup Winner,FIFA World Cup Winner 2026,True,True
soccer_france_ligue_one,Soccer,Ligue 1 - France,French Soccer,True,False
soccer_france_ligue_two,Soccer,Ligue 2 - France,French Soccer,True,False
soccer_germany_bundesliga,Soccer,Bundesliga - Germany,German Soccer,True,False
soccer_germany_bundesliga2,Soccer,Bundesliga 2 - Germany,German Soccer,True,False
soccer_germany_liga3,Soccer,3. Liga - Germany,German Soccer,True,False
soccer_greece_super_league,Soccer,Super League - Greece,Greek Soccer,True,False
soccer_italy_serie_a,Soccer,Serie A - Italy,Italian Soccer,True,False
soccer_italy_serie_b,Soccer,Serie B - Italy,Italian Soccer,True,False
soccer_japan_j_league,Soccer,J League,Japan Soccer League,True,False
soccer_korea_kleague1,Soccer,K League 1,Korean Soccer,True,False
soccer_league_of_ireland,Soccer,League of Ireland,Airtricity League Premier Division,True,False
soccer_mexico_ligamx,Soccer,Liga MX,Mexican Soccer,True,False
soccer_netherlands_eredivisie,Soccer,Dutch Eredivisie,Dutch Soccer,True,False
soccer_poland_ekstraklasa,Soccer,Ekstraklasa - Poland,Polish Soccer,True,False
soccer_portugal_primeira_liga,Soccer,Primeira Liga - Portugal,Portugese Soccer,True,False
soccer_spain_la_liga,Soccer,La Liga - Spain,Spanish Soccer,True,False
soccer_spain_segunda_division,Soccer,La Liga 2 - Spain,Spanish Soccer,True,False
soccer_spl,Soccer,Premiership - Scotland,Scottish Premiership,True,False
soccer_sweden_allsvenskan,Soccer,Allsvenskan - Sweden,Swedish Soccer,True,False
soccer_switzerland_superleague,Soccer,Swiss Superleague,Swiss Soccer,True,False
soccer_turkey_super_league,Soccer,Turkey Super League,Turkish Soccer,True,False
soccer_uefa_champs_league,Soccer,UEFA Champions League,European Champions League,True,False
soccer_uefa_euro_qualification,Soccer,UEFA Euro Qualification,European Championship Qualification,True,False
soccer_uefa_europa_conference_league,Soccer,UEFA Europa Conference League,UEFA Europa Conference League,True,False
soccer_uefa_europa_league,Soccer,UEFA Europa League,European Europa League,True,False
soccer_usa_mls,Soccer,MLS,Major League Soccer,True,False
